Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,trials (times)
38833221913,38.8332,71.225601,-106.995712,-0.328739,0.610865,1
38883221914,38.8832,71.203056,-106.978355,-0.322277,0.610865,1
38933221915,38.9332,71.178780,-106.960068,-0.315330,0.610865,1
38983221916,38.9832,71.153847,-106.941704,-0.307924,0.610865,1
39033221916,39.0332,71.128998,-106.923378,-0.301029,0.610865,1
39083221917,39.0832,71.103127,-106.904900,-0.293535,0.610865,1
39133221918,39.1332,71.076561,-106.886040,-0.286230,0.610865,1
39183221918,39.1832,71.049232,-106.867218,-0.278299,0.610865,1
39233221919,39.2332,71.021599,-106.848160,-0.270813,0.610865,1
39283221920,39.2832,70.993561,-106.829323,-0.262858,0.610865,1
39333221921,39.3332,70.965637,-106.810699,-0.255329,0.610865,1
39383221921,39.3832,70.937080,-106.792213,-0.247338,0.610865,1
39433221922,39.4332,70.908325,-106.773720,-0.239716,0.610865,1
39483221923,39.4832,70.877388,-106.754570,-0.231056,0.610865,1
39533221924,39.5332,70.845909,-106.735077,-0.222720,0.610865,1
39583221924,39.5832,70.814507,-106.716042,-0.214085,0.610865,1
39633221925,39.6332,70.780838,-106.696167,-0.205150,0.610865,1
39683221926,39.6832,70.747139,-106.676453,-0.196429,0.610865,1
39733221927,39.7332,70.713745,-106.657341,-0.187420,0.610865,1
39783221927,39.7832,70.680412,-106.638496,-0.178790,0.610865,1
39833221928,39.8332,70.647041,-106.620224,-0.169776,0.610865,1
39883221929,39.8832,70.613701,-106.602173,-0.161288,0.610865,1
39933221930,39.9332,70.580406,-106.584625,-0.152461,0.610865,1
39983221930,39.9832,70.547119,-106.567314,-0.143958,0.610865,1
40033221931,40.0332,70.513748,-106.550575,-0.135222,0.610865,1
40083221932,40.0832,70.480423,-106.534004,-0.126831,0.610865,1
40133221933,40.1332,70.447159,-106.517937,-0.118159,0.610865,1
40183221933,40.1832,70.413589,-106.501984,-0.109644,0.610865,1
40233221934,40.2332,70.376556,-106.484932,-0.100256,0.610865,1
40283221935,40.2832,70.339462,-106.468086,-0.091112,0.610865,1
40333221936,40.3332,70.302620,-106.451920,-0.081680,0.610865,1
40383221936,40.3832,70.265915,-106.436035,-0.072672,0.610865,1
40433221937,40.4332,70.229279,-106.420708,-0.063351,0.610865,1
40483221938,40.4832,70.192619,-106.405632,-0.054394,0.610865,1
40533221939,40.5332,70.156044,-106.391159,-0.045127,0.610865,1
40583221939,40.5832,70.119598,-106.376938,-0.036343,0.610865,1
40633221940,40.6332,70.083000,-106.363159,-0.027153,0.000000,2
40683221941,40.6832,70.071198,-106.358292,-0.024734,-0.610865,2
40733221942,40.7332,70.074211,-106.358490,-0.024852,-0.610865,2
40783221942,40.7832,70.093941,-106.358940,-0.024647,-0.610865,2
40833221943,40.8332,70.123009,-106.357773,-0.022970,-0.610865,2
40883221944,40.8832,70.155891,-106.354111,-0.019765,-0.610865,2
40933221945,40.9332,70.191704,-106.347931,-0.014371,-0.610865,2
40983221945,40.9832,70.227928,-106.338760,-0.007376,-0.610865,2
41033221946,41.0332,70.264275,-106.327431,0.001020,-0.610865,2
41083221947,41.0832,70.300674,-106.315506,0.010136,-0.610865,2
41133221948,41.1332,70.337891,-106.302681,0.019260,-0.610865,2
41183221948,41.1832,70.374649,-106.289841,0.028274,-0.610865,2
41233221949,41.2332,70.411812,-106.276268,0.037230,-0.610865,2
41283221950,41.2832,70.448738,-106.262505,0.046567,0.610865,2
41333221951,41.3332,70.487236,-106.249626,0.054408,0.610865,2
41383221951,41.3832,70.527428,-106.240974,0.058887,0.610865,2
41433221952,41.4332,70.569031,-106.237167,0.059369,0.610865,2
41483221953,41.4832,70.610313,-106.237206,0.057369,0.610865,2
41533221954,41.5332,70.651344,-106.240150,0.053433,0.000000,2
41583221954,41.5832,70.662437,-106.241295,0.052270,0.000000,2
41633221955,41.6332,70.662384,-106.241302,0.052270,0.000000,2
41683221956,41.6832,70.662407,-106.241318,0.052271,0.000000,2
41733221956,41.7332,70.662453,-106.241295,0.052271,0.000000,2
41783221957,41.7832,70.662491,-106.241287,0.052271,-0.610865,2
41833221958,41.8332,70.662529,-106.241280,0.052271,-0.610865,2
41883221959,41.8832,70.662552,-106.241280,0.052271,-0.610865,2
41933221959,41.9332,70.659393,-106.241806,0.052000,-0.610865,2
41983221960,41.9832,70.656586,-106.242706,0.051421,-0.610865,2
42033221961,42.0332,70.654114,-106.243462,0.051012,-0.610865,2
42083221962,42.0832,70.651878,-106.244507,0.050313,-0.610865,2
42133221962,42.1332,70.649734,-106.245262,0.049927,-0.610865,2
42183221963,42.1832,70.647720,-106.246239,0.049277,-0.610865,2
42233221964,42.2332,70.645752,-106.246910,0.048934,-0.610865,2
42283221965,42.2832,70.643890,-106.247833,0.048320,-0.610865,2
42333221965,42.3332,70.642036,-106.248444,0.048004,-0.610865,2
42383221966,42.3832,70.640236,-106.249321,0.047404,-0.610865,2
42433221967,42.4332,70.638397,-106.249939,0.047089,-0.610865,2
42483221968,42.4832,70.636574,-106.250816,0.046481,-0.610865,2
42533221968,42.5332,70.634674,-106.251434,0.046154,-0.610865,2
42583221969,42.5832,70.632782,-106.252312,0.045530,-0.610865,2
42633221970,42.6332,70.630821,-106.252968,0.045186,-0.610865,2
42683221971,42.6832,70.628845,-106.253883,0.044544,-0.610865,2
42733221971,42.7332,70.626808,-106.254532,0.044183,-0.610865,2
42783221972,42.7832,70.624763,-106.255493,0.043524,-0.610865,2
42833221973,42.8332,70.622658,-106.256187,0.043145,-0.610865,2
42883221974,42.8832,70.620537,-106.257133,0.042468,-0.610865,2
42933221974,42.9332,70.618362,-106.257866,0.042073,-0.610865,2
42983221975,42.9832,70.616180,-106.258865,0.041381,-0.610865,2
43033221976,43.0332,70.613937,-106.259598,0.040970,-0.610865,2
43083221977,43.0832,70.611694,-106.260590,0.040263,-0.610865,2
43133221977,43.1332,70.609406,-106.261368,0.039838,-0.610865,2
43183221978,43.1832,70.607109,-106.262398,0.039118,-0.610865,2
43233221979,43.2332,70.604767,-106.263168,0.038680,-0.610865,2
43283221980,43.2832,70.602417,-106.264206,0.037948,-0.610865,2
43333221980,43.3332,70.600029,-106.264984,0.037498,-0.610865,2
43383221981,43.3832,70.597633,-106.266075,0.036754,-0.610865,2
43433221982,43.4332,70.595192,-106.266884,0.036294,-0.610865,2
43483221983,43.4832,70.592766,-106.267960,0.035539,-0.610865,2
43533221983,43.5332,70.590271,-106.268768,0.035064,-0.610865,2
43583221984,43.5832,70.587776,-106.269852,0.034291,-0.610865,2
43633221985,43.6332,70.585213,-106.270699,0.033799,-0.610865,2
43683221986,43.6832,70.582634,-106.271812,0.033007,-0.610865,2
43733221986,43.7332,70.579987,-106.272705,0.032494,-0.610865,2
43783221987,43.7832,70.577354,-106.273865,0.031688,-0.610865,2
43833221988,43.8332,70.574402,-106.274887,0.031099,-0.610865,2
43883221989,43.8832,70.567719,-106.277107,0.029085,-0.610865,2
43933221989,43.9332,70.559235,-106.280220,0.027049,-0.610865,2
